,id,id_counter,symbol,name,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,atl,atl_change_percentage,price_change_percentage_1y_in_currency,average_percentage_change_by_day
2,tether,3,usdt,Tether,0.9997,82748349121.0,3,82748349121.0,21264933560.0,82853331627.822,82853331627.822,0.0,1.32,-24.51542,0.572521,74.44476,-0.10282539379700109,0.1095118370165953
1,usd-coin,3,usdc,USD Coin,0.9996,25935144284.0,6,25910137608.0,5591754282.0,25935682203.2895,25910675008.4005,0.0,1.17,-14.72845,0.877647,13.93933,-0.2086005684497719,-0.013959700910156969
0,cardano,3,ada,Cardano,0.2584,9051705824.0,8,11622956769.0,199912853.0,35045020830.3234,45000000000.0,45000000000.0,3.09,-91.63453,0.01925275,1241.28635,-43.96125820592569,-5.264178956770866
4,tron,3,trx,TRON,0.0756,6743856364.0,11,6743856841.0,187493145.0,89401596562.3354,89401602877.0624,0.0,0.231673,-67.44619,0.00180434,4079.82402,15.181143761634456,-2.5897939244587866
3,dai,3,dai,Dai,1.0002,3964888626.0,18,3964888626.0,153064297.0,3964767668.1577,3964767668.1577,0.0,1.22,-17.95836,0.88196,13.38731,-0.2095196870002057,0.006885855010246961
15,bitcoin,2,btc,Bitcoin,26065.6349,506670672659.0,1,546620679270.0,6974223703.0,19465206.0,21000000.0,21000000.0,69045.0,-62.30113,67.81,38285.90763,21.87181178051062,-8.005518797204584
5,ethereum,2,eth,Ethereum,1636.0522,196445974574.0,2,196445974574.0,9921574396.0,120211067.730788,120211067.730788,0.0,4878.26,-66.51082,0.432979,377213.86215,0.8472599193034407,-6.748766013293548
16,binancecoin,2,bnb,BNB,211.4062,32424800344.0,4,42149501784.0,753455286.0,153856150.0,153856150.0,200000000.0,686.31,-69.30611,0.0398177,528946.62917,-29.801793406617016,-7.3524296811344545
6,ripple,2,xrp,XRP,0.5204,27507358541.0,5,52055991487.0,1125599624.0,52841868447.0,99988501123.0,100000000000.0,3.4,-84.68209,0.00268621,19279.43521,50.57126591188925,-11.77481346870055
13,dogecoin,2,doge,Dogecoin,0.0626,8798792252.0,9,8798784123.0,313491469.0,140700206383.705,140700076383.705,0.0,0.731578,-91.45155,8.69e-05,71863.00428,-8.660661945219001,-8.993072417487001
